일련번호,파일명,법인명,팀명,직군,직렬,직무,직무소개,학위,전공,최소연차,경력연차,경력배경,자격증,포트폴리오,주요업무책임,주요업무환경,필수자격,필수자격요건,선호자격요건,필요역량
O0138,JD_플랫폼 사업_IT개발_프론트엔드개발_O0138.docx,BNX_KR,none,플랫폼 사업,IT개발,프론트엔드개발,"전 세계 팬들과 아티스트가 하나의 공간에서 소통할 수 있는 글로벌 서비스를 개발합니다. 기존 커머스/ 커뮤니티 서비스에서 볼 수 없었던 혁신적인 글로벌 서비스와 기능 개발에 참여하실 수 있으며, 이를 통해 대용량 트래픽을 가진 글로벌 서비스를 경험할 수 있습니다.",학력 무관,['none'],none,3,이상의 웹개발 경험,['none'],['none'],"['글로벌 유저를 대상으로 한 플랫폼 서비스 개발을 통한 Ecosystem 구축', '웹 서비스 운영 및 지속적인 개선', '글로벌 유저들이 사용할 수 있는 서비스 UI/UX 개발', '서비스 백오피스 기능 개발 및 고도화']",['none'],"['Javascript, HTML, CSS 에 대한 이해 및 지식 보유', 'React, MobX, Angular, Vue.js 등의 라이브러리 또는 프레임워크 활용한 SPA 개발 경험', 'UI/UX에 대한 폭넓은 관심']","['학력 및 전공 무관', '3년 이상의 웹개발 경험', 'Javascript, HTML, CSS 에 대한 이해 및 지식 보유', 'React, MobX, Angular, Vue.js 등의 라이브러리 또는 프레임워크 활용한 SPA 개발 경험', 'UI/UX에 대한 폭넓은 관심']","['Typescript, Webpack, Node.js 등 Javascript 관련 다양한 경험을 보유한 분', '웹사이트 성능 최적화를 경험한 분', '다양한 도구 및 툴 활용을 경험한 분']","['다양한 문제에 대한 원인 분석 및 해결 능력', '타 부서 및 동료와 원활한 협업을 가능하게 하는 적극적인 커뮤니케이션 능력', '강한 책임감을 가지고 주도적으로 업무를 추진하는 능력', '새로운 기술과 비즈니스에 대한 지적 호기심']"
O0027,JD_IP사업_애니메이션_애니메이션 제작 (모델러)_O0027.docx,BHI_KR,none,IP사업,애니메이션,애니메이션 제작 (모델러),"회사와 작품의 방향성과 연계된 다양한 모델링 및 서페이싱 (Modeling & Surfacing) 작업을 통해, 프로덕션 진행이 효과적/효율적으로 진행되게 합니다. 다양한 제작 전문인력과 협업하고, 독창적인 IP 콘텐츠 개발 경험을 하며 함께 성장할 수 있습니다.",학력 무관,['전공 무관'],none,3,"이상 모델링, 텍스쳐 (룩뎁과 유기적 호환 가능한) 경력을 보유한 분",['none'],['해당 업무 관련 포트폴리오 제출이 가능한 분 (지원서와 함께 제출)'],"['캐릭터 모델링 및 서페이싱', '배경 모델링 및 서페이싱', '다양한 스타일의 texture 제작']",['none'],"['다양한 장르의 프로젝트 참여 경험을 보유한 분', '장르에 국한되지 않는 감각적 캐릭터 모델링 제작이 가능한 분', '컨셉 디자인에 대한 정확한 이해와 해석능력을 가진 분', '애니메이션, 영화 등 영상 제작에 대한 관심과 이해도가 높은 분', '해부학, 인체 비례, 움직임에 대한 이해와 관심이 있는 분', '움직임에 따른 모델링 구조와 형태에 대한 이해가 있는 분', '배경 모델링 서페이싱에 대한 본인만의 workflow를 가지고 있는 분', '손맵 및 스타일리쉬한 texture 제작이 가능한 분']","['학력 무관', '전공 무관', '3년 이상 모델링, 텍스쳐 (룩뎁과 유기적 호환 가능한) 경력을 보유한 분', '다양한 장르의 프로젝트 참여 경험을 보유한 분', '장르에 국한되지 않는 감각적 캐릭터 모델링 제작이 가능한 분', '컨셉 디자인에 대한 정확한 이해와 해석능력을 가진 분', '애니메이션, 영화 등 영상 제작에 대한 관심과 이해도가 높은 분', '해부학, 인체 비례, 움직임에 대한 이해와 관심이 있는 분', '움직임에 따른 모델링 구조와 형태에 대한 이해가 있는 분', '배경 모델링 서페이싱에 대한 본인만의 workflow를 가지고 있는 분', '손맵 및 스타일리쉬한 texture 제작이 가능한 분', '해당 업무 관련 포트폴리오 제출이 가능한 분 (지원서와 함께 제출)']","['Maya, ZBrush, Mari 기반 작업이 가능한 분', 'Digital double modeling 및 texture 제작 경험이 있는 분', 'Facial Action Coding System  (FACS) 기반 facial 제작 경험을 보유한 분', 'Hair & Fur가 포함된 캐릭터 제작 경험을 보유한 분', '컬러드로잉 (Color drawing) 포트폴리오 제출이 가능한 분 (지원서와 함께 제출)']","['높은 수준의 업무 디테일', '효율적 시간 관리 능력', '적극적/능동적인 피드백 교환을 통한 공동 목표 달성', '효과적 커뮤니케이션 능력', '결과물 품질과 완성도에 대한 높은 기준']"
J0018,JD_신인개발_캐스팅_캐스팅_J0018.docx,BHE_JP,none,신인개발,캐스팅,캐스팅,"다른 사람들보다 먼저 재능과 가능성을 알아보고, 아티스트로서의 ‘시작’을 열어주는 캐스팅팀은  회사가 추구하는 아티스트의 가능성을 가진 연습생을 발굴하고, 차별화된 방식으로 캐스팅/오디션을 기획하고 진행합니다. 다양한 글로벌 고객 니즈와 빠르게 변화하는 엔터테인먼트 업계에서 독창적인 시각으로 캐스팅 산업을 발전시키는 경험을 할 수 있습니다.",전문학사,['전공 무관'],신입 가능,1,이상 관련 업무 경험자,['none'],['none'],"['국내/외 캐스팅 루트 개발 및 로드 캐스팅 진행', '오디션 제안', '오디션 컨텐츠 기획', '온/오프라인 오디션 진행 및 결과 보고', '오디션 지원자 검토', '차별화된 오디션/마케팅 기획 및 운영', '국내/외 캐스팅 관련 에이전시 발굴 및 계약']",['none'],"['미디어/엔터테인먼트 업계에서 캐스팅 업무 경험을 보유한 분', '커뮤니케이션 스킬이 탁월한 분', '캐스팅 업무에 대한 이해도가 있는 분', '적극적이고 긍정적 마인드를 보유한 분']","['전문학사 이상', '전공 무관', '(신입 가능) 1년 이상 관련 업무 경험자', '미디어/엔터테인먼트 업계에서 캐스팅 업무 경험을 보유한 분', '커뮤니케이션 스킬이 탁월한 분', '캐스팅 업무에 대한 이해도가 있는 분', '적극적이고 긍정적 마인드를 보유한 분']","['한국어 커뮤니케이션이 능통한 분', '음악 및 아이돌 산업에 대한 이해도와 관심이 있는 분']","['회사 방향성에 부합하고, 성장 잠재력이 있는 신인을 파악할 수 있는 섬세한 대인 감수성', '효과적인 커뮤니케이션 능력 (설명, 설득, 협상 등)', '최신 엔터테인먼트 혹은 사회/문화 관련 트렌드를 지속적으로 업데이트하는 학습 능력', '의도한 결과가 나올 때까지 끝까지 시도하는 인내와 끈기']"
O0023,JD_플랫폼 사업_서비스 개발_프로덕트실장_O0023.docx,BNX_KR,none,플랫폼 사업,서비스 개발,프로덕트실장,"회사의 주요 서비스인 위버스, 위버스샵, 위버스계정의 전략수립부터 과제선정, 프로젝트매니징, 릴리즈까지를 책임지는 역할을 하게 됩니다. PM 및 UX기획/디자인, 비주얼디자인 업무를 담당하는 팀/ 파트를 총괄하며, 개발, 서비스운영, 사업, 마케팅 등 유관 조직과 유기적으로 협업합니다. 엔터테인먼트와 IT의 비즈니스 로직을 결합한 최초의 사례를 함께 만들어 가는 경험을 할 수 있습니다.",학사,['전공 무관'],10,none,이상 관련 업무 경험을 보유한 분,['none'],['none'],"['회사 내 모든 서비스의 기획 및 디자인, VD 품질 책임', '전사 사업계획과 비전에 맞는 서비스 로드맵의 도출 및 과제화', '개발조직과의 협업을 통한 프로젝트 일정 관리', '사업목표 달성을 위한 개선과제 발굴 및 과제화, 성과창출', '고객 VOC, 입점사 요청사항 등을 검토하여 개선과제 도출 및 과제화', 'PM, UX기획디자인, VD 조직관리']","['입점사 아티스트의 활동에 따른 비즈니스 요청사항이 수시 발생', '프로젝트 일정에 따른 업무 집중 기간 존재']","['커머스 또는 커뮤니티, 콘텐츠 서비스 영역에서 일한 경험이 있어 로직과 특성을 파악하고 있는 분', '프로젝트 개발 과정에 대한 이해도가 높아, 기술 또는 기획요소를 잘 파악하여 실무자들의 일정관리 및 의사결정에 명확한 방향성과 가이드를 제시할 수 있는 분', '업무분배, 업무에 대한 피드백, 평가, 면담 등 조직관리 경험을 보유한 분', '회사 내 타부서, 회사 외 파트너들과의 명확하고 사려깊은 커뮤니케이션이 가능한 분']","['학사이상', '전공 무관', '최소 10년 이상 관련 업무 경험을 보유한 분', '커머스 또는 커뮤니티, 콘텐츠 서비스 영역에서 일한 경험이 있어 로직과 특성을 파악하고 있는 분', '프로젝트 개발 과정에 대한 이해도가 높아, 기술 또는 기획요소를 잘 파악하여 실무자들의 일정관리 및 의사결정에 명확한 방향성과 가이드를 제시할 수 있는 분', '업무분배, 업무에 대한 피드백, 평가, 면담 등 조직관리 경험을 보유한 분', '회사 내 타부서, 회사 외 파트너들과의 명확하고 사려깊은 커뮤니케이션이 가능한 분']","['글로벌 및 다언어 서비스 환경에서 업무를 주도적으로 수행한 경험이 있는 분', '엔터테인먼트 산업에 대해 관심과 이해가 있는 분']","['깊이 있는 분석에 기반한 서비스에 대한 자신만의 고유한 시각 및 관점', '서비스 관점을 명확하게 소통할 수 있는 커뮤니케이션 능력', '내/외부 이해관계자와의 논의/토론을 통하여 합리적 결론을 도출할 수 있는 협력적 사고', '서비스 사용자를 최우선에 놓고, 최선의 서비스를 제공하려는 고객지향 마인드', '꼼꼼하고 세밀하게 스펙과 일정을 관리하는 업무 디테일']"
J0002,JD_IP사업_공간사업_空間運営(ストア運営)_J0002.docx,BHS_JP,none,IP사업,공간사업,공간운영,"회사에 소속된 아티스트의 MD/굿즈 판매를 위한 POP-UP 스토어나 상설매장의 장소 선정, 인테리어/시공의 관리 및 실제 운영까지 전반적 운영을 담당합니다. POP-UP 스토어/상설매장이 설치되는 도시의 집객 장치로써 지역 활성화 및 소속 아티스트의 이미지 제고에도 기여하는 경험을 할 수 있습니다.",학력 무관,['전공 무관'],none,3,"이상 캐릭터 상품, 잡화 판매 혹은 관련 스토어/점포 운영 경험자",['none'],['none'],"['POP-UP 스토어/상설매장 장소의 선정 (도쿄 및 일본 내 전지역 대상)', 'POP-UP 스토어/상설매장의 내장・시공관리', 'POP-UP 스토어/상설매장의 운영']",['스토어 장소 선정/운영을 위한 출장'],['판매매장 설립 기획부터 설립 후 운영까지 전반적 프로세스에 정통한 분'],"['학력 무관', '전공 무관', '3년 이상 캐릭터 상품, 잡화 판매 혹은 관련 스토어/점포 운영 경험자', '판매매장 설립 기획부터 설립 후 운영까지 전반적 프로세스에 정통한 분']","['공간 (점포)기획 경험을 보유한 분', '한국어 또는 영어 커뮤니케이션이 원활한 분']","['다양한 내/외부 관계자와의 적극적 커뮤니케이션 능력', '합리적 설득 및 협상 능력', '맡은 업무에 대해 끝까지 노력하는 강한 책임감', '스토어 운영에 필요한 장기적 관점 및 손익관리능력']"
O0063,JD_IP사업_MD_이벤트MD기획 (운영)_O0063.docx,BHI_KR,none,IP사업,MD,이벤트MD기획 (운영),"아티스트 관련 다양한 MD를 기획하고, 전반적인 제작 관련한 실제 운영을 담당합니다. 회사가 추구하는 방향성, 아티스트 및 음악 컨셉, 고객 및 시장의 트렌드와 니즈 등을 바탕으로 완성도 높은 MD가 제품화 되어 시장에 출시될 수 있도록 유관부서 및 협력업체들과 긴밀하게 협력합니다. 회사의 콘텐츠 방향성 및 제작 규칙을 이해하고 체화/반영하여, 다양한 MD를 직접 기획할 수 있는 창의적인 MD기획자로 성장할 수 있습니다.",학사,['전공 무관'],none,2,이상 관련 업무 경험자,['none'],['해당 업무 관련 포트폴리오 제출이 가능한 분 (지원서와 함께 제출)'],"['다양한 모니터링을 통한 공연 또는 프로젝트 성격에 맞는 아티스트의 MD 상품 기획', '프로젝트 MD 제작 관련 전반적 일정 관리 및 운영', '아티스트 MD로 선정된 다양한 상품 (예. 의류, 문구류, 액세서리 등)의 디자인 제안 및 아티스트 촬영 운영 등 상품화 진행', 'MD에 대한 고객 반응 분석 및 모니터링']",['none'],"['음악산업, 엔터테인먼트, 미디어 콘텐츠 등 유관업계에서 관련 업무 경험을 보유한 분', '패션/문구 등 상품에 대해 전반적으로 관심이 많은 분', '유관부서와 원활한 의사소통이 가능한 커뮤니케이션 스킬을 보유한 분', '엔터테인먼트 업계에 대한 관심과 애정이 있는 분']","['학사 이상', '전공 무관', '2년 이상 관련 업무 경험자', '음악산업, 엔터테인먼트, 미디어 콘텐츠 등 유관업계에서 관련 업무 경험을 보유한 분', '패션/문구 등 상품에 대해 전반적으로 관심이 많은 분', '유관부서와 원활한 의사소통이 가능한 커뮤니케이션 스킬을 보유한 분', '엔터테인먼트 업계에 대한 관심과 애정이 있는 분', '해당 업무 관련 포트폴리오 제출이 가능한 분 (지원서와 함께 제출)']","['MD 제작 진행 또는 관련 프로젝트 진행/운영을 경험한 분', 'MD 디자인에 대해 방향성을 제시할 수 있는 수준의 디자인 지식이나 실제 경험을 보유한 분', '다양한 협업 관계자와 효과적으로 일정 조율을 할 수 있는 커뮤니케이션 능력을 보유한 분']","['다양한 정보/data를 바탕으로 아이디어를 제안할 수 있는 분석력과 기획력', '작업물의 완성도를 높일 수 있는 철저함', '최신 콘텐츠 관련 트렌드나 기술을 지속적으로 업데이트하는 학습 능력', '효과적 커뮤니케이션 능력']"
O0072,JD_IP사업_MD_MD유통/판매 (판매관리)_O0072.docx,BHS_JP,none,IP사업,MD,MD 유통/판매 (판매관리),"콘서트/팬미팅 등 공연 MD 및 다양한 기획 MD 제품이 회사의 기획 의도에 따라 완성도 높은 제품으로 탄생할 수 있도록, 발주부터 판매까지 전반적인 유통, 계약체결, 정산, 판매현장관리 등의 업무를 담당합니다. 일정에 따라 차질 없이 MD 생산과 판매가 이루어 질 수 있도록 유관부서 및 협력업체와 긴밀하게 협력합니다. 다양한 시장 및 고객, 현장 관리 경험을 통해 MD유통 및 판매 전문가로 성장할 수 있습니다.",학력 무관,['전공 무관'],none,3,이상 관련 업무 경험자,['none'],['none'],"['상품 판매 계획 수립 및 발주', '판매 현장 및 유통채널 관리', '원활한 현장판매를 위한 인원 및 비품 수배, 안전 관리', '반입 및 반출 포함한 재고/매출 관리']","['투어 등 프로젝트 일정에 따라 업무 집중 시기가 존재함', '출장/외근 비중 10~20% (투어 등 판매현장 관리 업무)']","['상품 판매 전략 수립 및 현장 판매 운영 관련 경험/노하우를 보유한 분', '비즈니스 한국어 커뮤니케이션이 원활한 분 (문장 작성 및 비즈니스 회화 능력)', '숫자에 대한 감각이 탁월하여 빠르고 꼼꼼하게 관련 업무를 수행할 수 있는 분', '정형화되지 않은 정성/정량 데이터에 대한 분석 및 이를 바탕으로 한 가설을 세우는 능력이 뛰어난 분']","['학력 무관', '전공 무관', '3년 이상 관련 업무 경험자', '상품 판매 전략 수립 및 현장 판매 운영 관련 경험/노하우를 보유한 분', '비즈니스 한국어 커뮤니케이션이 원활한 분 (문장 작성 및 비즈니스 회화 능력)', '숫자에 대한 감각이 탁월하여 빠르고 꼼꼼하게 관련 업무를 수행할 수 있는 분', '정형화되지 않은 정성/정량 데이터에 대한 분석 및 이를 바탕으로 한 가설을 세우는 능력이 뛰어난 분']","['콘서트 물품 판매 경험자', 'MD/굿즈 생산 및 제작 경험을 보유한 분', '음악산업, 엔터테인먼트, 미디어 콘텐츠 등 유관업계에서 관련 업무 경험을 보유한 분', '재무/정산/계약 체결 관련 경험을 보유한 분', '탁월한 문서작성 능력 (파워포인트 등 MS-Office 혹은 구글문서 프로그램 활용)을 보유한 분']","['효과적 커뮤니케이션 능력', '다양한 유관부서/외부 관계자들과 협업할 수 있는 협력적 사고', '기민한 상황대처능력 및 유연함', '최신 업계 트렌드를 업데이트하며, 시장의 흐름과 패턴을 파악하는 능력', '결과물 품질과 완성도에 대한 높은 기준']"
O0036,JD_IP사업_공간사업_공간디자인_O0036.docx,BHI_KR,none,IP사업,공간사업,공간디자인 (VMD 포함),"회사가 보유한 IP기반의 다양한 콘텐츠를 활용하여, 고객 경험을 위한 디자인 기획/개발/시각화를 통해 공간에 구현하는 업무를 수행합니다. 오프라인 공간의 다양한 목적/특성에 맞는 콘텐츠를 구현하기 위한 공간 디자인을 기획함으로써, 완성도 높은 경험을 고객에게 제공합니다. 다양한 전문가들과 함께 글로벌 오프라인 플랫폼을 완성해 공간 경험 디자인의 새로운 패러다임을 제시하는 경험을 할 수 있습니다.",학력 무관,['none'],none,8,이상 공간 디자인 관련 업무 경험자,['none'],['해당 업무 관련 포트폴리오 제출이 가능한 분 (지원서와 함께 제출)'],"['오프라인 매장 및 경험 디자인 기획', '매장 콘텐츠 및 컨셉 개발', '글로벌 디자인 가이드 제작 및 관리']","['관련 프로젝트에 따라 업무 집중 시기가 존재함', '국내/외 출장 비중 20%']","['공간디자인 또는 공간 경험 콘텐츠 관련 전공, 시각디자인 전공자', 'Adobe 프로그램 (Photoshop, Illustrator), Sketch up 및 3D 그래픽 툴 활용에 능통한 분']","['학력 무관', '공간디자인 또는 공간 경험 콘텐츠 관련 전공, 시각디자인 전공자', '8년 이상 공간 디자인 관련 업무 경험자', 'Adobe 프로그램 (Photoshop, Illustrator), Sketch up 및 3D 그래픽 툴 활용에 능통한 분', '해당 업무 관련 포트폴리오 제출이 가능한 분 (지원서와 함께 제출)']","['공간 디자인 업무를 주도적으로 이끌어 본 경험이 있는 분', '유연하고 창의적인 사고로 새로운 콘셉 제안을 할 수 있는 분', '비즈니스 영어 커뮤니케이션이 가능한 분', '국내/외 공간 디자인 트렌드에 대한 높은 관심과 이해도가 있는 분']","['효과적인 프로젝트 관리 능력', '기본 디자인 스킬과 열린 관찰력을 바탕으로 이를 창의적으로 구체화시키는 역량', '다양한 유관부서/외부 관계자들과 효과적으로 협력할 수 있는 팀워크', '최신 공간 디자인 관련 트렌드/기술을 지속적으로 업데이트하는 학습 능력', '결과물 품질과 완성도에 대한 높은 기준', '합리적 문제 해결 능력', '새로운 시도와 실험에 열린 자세']"
O0155,JD_플랫폼 사업_디지털콘텐츠제작_미디어 영상 편집/제작_O0155.docx,BNX_KR,none,플랫폼 사업,디지털콘텐츠제작,미디어 영상 편집/제작,글로벌 팬을 대상으로 하는 플랫폼 영상 미디어 서비스의 콘텐츠를 편집하고 재가공합니다. 주목받는 엔터테인먼트 서비스를 안정적으로 운영할 수 있는 콘텐츠를 편집하고 나아가 플랫폼 서비스 경쟁력을 높이기 위한 영상물을 제작하고 업로드합니다. 이전에 없는 새로운 서비스를 디자인하고 개발하는데 참여할 수 있습니다.,학사,['전공 무관'],none,3,이상 관련 업무 경험자,['none'],"['아래 서류 제출이 가능한 분', '본인의 포트폴리오: 해당 프로젝트에 대한 참여인원, 본인의 역할, 범위, 실제 라이브 여부를 포함하며, PDF 등의 문서 혹은 웹형식 제출 모두 가능']","['플랫폼 서비스 내 영상 편집, 가공, 아카이빙 업무 전반', '콘텐츠 재가공 모니터링, 검수, 영상 심의 지원', '플랫폼 서비스 내 영상 콘텐츠 기획 및 편집 제작', '프로모션 홍보 영상 제작', 'SNS 채널 영상 제작']",['관련 프로젝트 일정에 따른 업무 집중 시기가 존재함'],"['영상 편집 및 가공, 영상 제작물에 대한 관리 경험을 보유한 분', '영상 콘텐츠 연출 및 기획력이 있거나 관련 경험을 보유한 분', 'Adobe tool (Premiere Pro, After Effects, Photoshop, Illustrator 등)이나 Final Cut 등 영상 제작 편집 프로그램 활용에 능숙한 분', '유관부서 및 구성원과의 원활한 커뮤니케이션이 가능한 분', '이력서, 경력기술서, 자기소개서 (자유양식)']","['학사이상', '전공 무관', '3년 이상 관련 업무 경험자', '영상 편집 및 가공, 영상 제작물에 대한 관리 경험을 보유한 분', '영상 콘텐츠 연출 및 기획력이 있거나 관련 경험을 보유한 분', 'Adobe tool (Premiere Pro, After Effects, Photoshop, Illustrator 등)이나 Final Cut 등 영상 제작 편집 프로그램 활용에 능숙한 분', '유관부서 및 구성원과의 원활한 커뮤니케이션이 가능한 분', '아래 서류 제출이 가능한 분', '이력서, 경력기술서, 자기소개서 (자유양식)', '본인의 포트폴리오: 해당 프로젝트에 대한 참여인원, 본인의 역할, 범위, 실제 라이브 여부를 포함하며, PDF 등의 문서 혹은 웹형식 제출 모두 가능']","['영어 커뮤니케이션이 가능한 분', '동종업계 경험을 보유한 분', '트렌드나 팬덤 문화에 관심이 많은 분']","['고객의 잠재된 니즈까지 파악/개선하여 만족시킬 수 있는 고객 지향성', '긍정적 마인드와 적극적으로 이슈를 해결하려는 주도성', '다양한 유관부서/외부 관계자들과 효과적으로 협력할 수 있는 팀워크', '최신 영상 관련 트렌드/기술을 지속적으로 업데이트하는 학습 능력']"
O0031,JD_IP사업_애니메이션_캐릭터제작 (애니메이션캐릭터)_O0031.docx,BHI_KR,none,IP사업,애니메이션,캐릭터제작 (애니메이션캐릭터),"애니메이션 작품의 스토리/컨셉에 따라 캐릭터를 기획합니다. 캐릭터의 외현, 감정, 성격 등을 고려하여 개발/디자인하여 생동감을 줍니다. 다른 내/외부 제작/연출 전문인력과 협업하여 애니메이션 작품을 함께 완성합니다. 독창적인 IP 콘텐츠 개발 경험을 하며 성장할 수 있습니다.",학사,['전공 무관'],none,1,이상 관련 업무 경험자,['none'],['해당 업무 관련 포트폴리오 제출이 가능한 분 (지원서와 함께 제출)'],"['애니메이션 캐릭터 디자인, 혹은 상품용 캐릭터 디자인', '캐릭터 매뉴얼 및 아트워크 개발']",['none'],"['캐릭터를 기획/개발한 경험을 보유한 분', '본인만의 독창적 캐릭터 기획, 개발이 가능한 분', '캐릭터 사업에 대한 높은 이해도를 보유한 분', '탁월한 드로잉 실력을 보유한 분']","['학사 이상', '전공 무관', '1년 이상 관련 업무 경험자', '캐릭터를 기획/개발한 경험을 보유한 분', '본인만의 독창적 캐릭터 기획, 개발이 가능한 분', '캐릭터 사업에 대한 높은 이해도를 보유한 분', '탁월한 드로잉 실력을 보유한 분', '해당 업무 관련 포트폴리오 제출이 가능한 분 (지원서와 함께 제출)']","['다수의 신규 캐릭터 기획 및 개발 경험을 보유한 분', '단/장편 애니메이션 영화/게임/TV시리즈 제작에 참여한 경험을 보유한 분', '엔터테인먼트 사업에 대한 높은 이해도를 보유한 분', '글로벌 캐릭터 개발 경험을 보유한 분']","['창의적 사고', '높은 수준의 업무 디테일', '결과물 품질과 완성도에 대한 높은 기준', '최신 애니메이션/엔터테인먼트 관련 트렌드/기술을 지속적으로 업데이트하는 학습 능력', '효과적 커뮤니케이션 스킬']"
